x  -i
0.000002149197274786685  3.003114186851211
0.0049388553375314115  2.956401384083045
0.012370779513851543  2.925259515570934
0.027264716628339264  2.906574394463668
0.04092501450708155  2.9003460207612455
0.06452105138730682  2.8910034602076125
0.09929721249113452  2.881660899653979
0.1166863676416858  2.878546712802768
0.14400696339917038  2.866089965397924
0.1651228266242558  2.862975778546713
0.1887188635044811  2.8536332179930795
0.21107266435986152  2.8442906574394464
0.23093769477100298  2.828719723183391
0.24955833996002494  2.8100346020761244
0.26942122117389145  2.791349480968858
0.2880440155601882  2.7757785467128024
0.31038707042919467  2.750865051903114
0.32775903200154743  2.7228373702422144
0.34885985084570903  2.697923875432526
0.3662361108126114  2.6761245674740484
0.3898149541146382  2.6418685121107264
0.4109050269724257  2.601384083044983
0.4270283049281093  2.56401384083045
0.44314728448924323  2.520415224913495
0.46671968019944543  2.4768166089965398
0.4853123858238948  2.4176470588235293
0.5001805325710846  2.36159169550173
0.518771088998259  2.2993079584775087
0.5348513830084463  2.199653979238754
0.5434976036450385  2.1280276816608996
0.5521438242816308  2.0564013840830446
0.5645124545982075  1.978546712802768
0.5781340669260031  1.9162629757785465
0.5930043628704678  1.8633217993079585
0.609121193234327  1.8166089965397922
0.6252401727954607  1.7730103806228372
0.6450837112338542  1.7262975778546712
0.6599712007565175  1.6982698961937717
0.6810548260224806  1.6484429065743944
0.6971867007672635  1.6235294117647059
0.7157965999699113  1.589273356401384
0.7418448709407036  1.5332179930795848
0.7604504717488018  1.4927335640138406
0.7790539233596251  1.4491349480968856
0.7951814997098584  1.417993079584775
0.815031485740076  1.380622837370242
0.8361194094005888  1.3370242214532873
0.8646564508156203  1.28719723183391
0.8807732811794795  1.2404844290657437
0.8931720002579036  1.2062283737024222
