----------------------------------------------------------------------------------------------
* Initiating KLMC3 task-farming profiler
----------------------------------------------------------------------------------------------

 logfile path : /work/e05/e05/wkjee/SolidSolution/Batteries/IronPhospate/ProductionMax36/set_2_p33/log
 number of master files : 1
 number of workgroup files : 512

# printing workgroup_id 9 log
 task_id: 6471, {'send_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 10, 'microsecond': 720638, 'abs': 1713386770.720638}, 'recv_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 18, 'microsecond': 789391, 'abs': 1713386778.789391}, 'elap_t': 8.049955129623413, 'send_success': True, 'recv_success': True, 'sendrecv_success': True, 'exe_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 10, 'microsecond': 739353, 'abs': 1713386770.739353}, 'ret_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 18, 'microsecond': 789308, 'abs': 1713386778.789308}, 'mpi_overhead': 0.018797874450683594, 'app_elap_t': None}
 task_id: 6695, {'send_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 18, 'microsecond': 789416, 'abs': 1713386778.789416}, 'recv_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 23, 'microsecond': 574338, 'abs': 1713386783.574338}, 'elap_t': 4.743005990982056, 'send_success': True, 'recv_success': True, 'sendrecv_success': True, 'exe_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 18, 'microsecond': 831231, 'abs': 1713386778.831231}, 'ret_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 23, 'microsecond': 574237, 'abs': 1713386783.574237}, 'mpi_overhead': 0.0419158935546875, 'app_elap_t': None}
 task_id: 6824, {'send_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 23, 'microsecond': 574364, 'abs': 1713386783.574364}, 'recv_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 33, 'microsecond': 557534, 'abs': 1713386793.557534}, 'elap_t': 9.948729991912842, 'send_success': True, 'recv_success': True, 'sendrecv_success': True, 'exe_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 23, 'microsecond': 608709, 'abs': 1713386783.608709}, 'ret_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 33, 'microsecond': 557439, 'abs': 1713386793.557439}, 'mpi_overhead': 0.034440040588378906, 'app_elap_t': None}
 task_id: 7088, {'send_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 33, 'microsecond': 557561, 'abs': 1713386793.557561}, 'recv_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 39, 'microsecond': 312942, 'abs': 1713386799.312942}, 'elap_t': 5.645531177520752, 'send_success': True, 'recv_success': True, 'sendrecv_success': True, 'exe_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 33, 'microsecond': 667312, 'abs': 1713386793.667312}, 'ret_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 39, 'microsecond': 312843, 'abs': 1713386799.312843}, 'mpi_overhead': 0.10984992980957031, 'app_elap_t': None}
 task_id: 7259, {'send_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 39, 'microsecond': 312964, 'abs': 1713386799.312964}, 'recv_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 49, 'microsecond': 434749, 'abs': 1713386809.434749}, 'elap_t': 10.083847999572754, 'send_success': True, 'recv_success': True, 'sendrecv_success': True, 'exe_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 39, 'microsecond': 350798, 'abs': 1713386799.350798}, 'ret_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 49, 'microsecond': 434646, 'abs': 1713386809.434646}, 'mpi_overhead': 0.03793692588806152, 'app_elap_t': None}
 task_id: 7556, {'send_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 49, 'microsecond': 434772, 'abs': 1713386809.434772}, 'recv_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 53, 'microsecond': 472259, 'abs': 1713386813.472259}, 'elap_t': 4.010792016983032, 'send_success': True, 'recv_success': True, 'sendrecv_success': True, 'exe_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 49, 'microsecond': 461367, 'abs': 1713386809.461367}, 'ret_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 53, 'microsecond': 472159, 'abs': 1713386813.472159}, 'mpi_overhead': 0.02669501304626465, 'app_elap_t': None}
 task_id: 7686, {'send_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 53, 'microsecond': 472282, 'abs': 1713386813.472282}, 'recv_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 47, 'second': 18, 'microsecond': 236284, 'abs': 1713386838.236284}, 'elap_t': 24.715731143951416, 'send_success': True, 'recv_success': True, 'sendrecv_success': True, 'exe_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 46, 'second': 53, 'microsecond': 520469, 'abs': 1713386813.520469}, 'ret_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 47, 'second': 18, 'microsecond': 236200, 'abs': 1713386838.2362}, 'mpi_overhead': 0.04827094078063965, 'app_elap_t': None}
 task_id: 8393, {'send_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 47, 'second': 18, 'microsecond': 236307, 'abs': 1713386838.236307}, 'recv_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 47, 'second': 25, 'microsecond': 830082, 'abs': 1713386845.830082}, 'elap_t': 7.277730941772461, 'send_success': True, 'recv_success': True, 'sendrecv_success': True, 'exe_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 47, 'second': 18, 'microsecond': 552277, 'abs': 1713386838.552277}, 'ret_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 47, 'second': 25, 'microsecond': 830008, 'abs': 1713386845.830008}, 'mpi_overhead': 0.3160440921783447, 'app_elap_t': None}
 task_id: 8601, {'send_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 47, 'second': 25, 'microsecond': 830105, 'abs': 1713386845.830105}, 'recv_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 47, 'second': 32, 'microsecond': 41987, 'abs': 1713386852.041987}, 'elap_t': 6.190936088562012, 'send_success': True, 'recv_success': True, 'sendrecv_success': True, 'exe_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 47, 'second': 25, 'microsecond': 850976, 'abs': 1713386845.850976}, 'ret_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 47, 'second': 32, 'microsecond': 41912, 'abs': 1713386852.041912}, 'mpi_overhead': 0.02094578742980957, 'app_elap_t': None}
 task_id: 8790, {'send_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 47, 'second': 32, 'microsecond': 42020, 'abs': 1713386852.04202}, 'recv_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 48, 'second': 3, 'microsecond': 432559, 'abs': 1713386883.432559}, 'elap_t': 31.370233058929443, 'send_success': True, 'recv_success': True, 'sendrecv_success': True, 'exe_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 47, 'second': 32, 'microsecond': 62243, 'abs': 1713386852.062243}, 'ret_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 48, 'second': 3, 'microsecond': 432476, 'abs': 1713386883.432476}, 'mpi_overhead': 0.020305871963500977, 'app_elap_t': None}
 task_id: 9664, {'send_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 48, 'second': 3, 'microsecond': 432583, 'abs': 1713386883.432583}, 'recv_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 48, 'second': 51, 'microsecond': 747262, 'abs': 1713386931.747262}, 'elap_t': 48.27824687957764, 'send_success': True, 'recv_success': True, 'sendrecv_success': True, 'exe_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 48, 'second': 3, 'microsecond': 468943, 'abs': 1713386883.468943}, 'ret_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 48, 'second': 51, 'microsecond': 747190, 'abs': 1713386931.74719}, 'mpi_overhead': 0.03643202781677246, 'app_elap_t': None}
 task_id: 10993, {'send_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 48, 'second': 51, 'microsecond': 747287, 'abs': 1713386931.747287}, 'recv_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 49, 'second': 8, 'microsecond': 533910, 'abs': 1713386948.53391}, 'elap_t': 16.763785123825073, 'send_success': True, 'recv_success': True, 'sendrecv_success': True, 'exe_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 48, 'second': 51, 'microsecond': 770052, 'abs': 1713386931.770052}, 'ret_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 49, 'second': 8, 'microsecond': 533837, 'abs': 1713386948.533837}, 'mpi_overhead': 0.02283787727355957, 'app_elap_t': None}
 task_id: 11449, {'send_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 49, 'second': 8, 'microsecond': 533935, 'abs': 1713386948.533935}, 'recv_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 49, 'second': 40, 'microsecond': 929158, 'abs': 1713386980.929158}, 'elap_t': 32.348615884780884, 'send_success': True, 'recv_success': True, 'sendrecv_success': True, 'exe_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 49, 'second': 8, 'microsecond': 580475, 'abs': 1713386948.580475}, 'ret_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 49, 'second': 40, 'microsecond': 929091, 'abs': 1713386980.929091}, 'mpi_overhead': 0.046607017517089844, 'app_elap_t': None}
 task_id: 12328, {'send_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 49, 'second': 40, 'microsecond': 929182, 'abs': 1713386980.929182}, 'recv_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 49, 'second': 49, 'microsecond': 61988, 'abs': 1713386989.061988}, 'elap_t': 8.109569072723389, 'send_success': True, 'recv_success': True, 'sendrecv_success': True, 'exe_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 49, 'second': 40, 'microsecond': 952329, 'abs': 1713386980.952329}, 'ret_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 49, 'second': 49, 'microsecond': 61898, 'abs': 1713386989.061898}, 'mpi_overhead': 0.023236989974975586, 'app_elap_t': None}
 task_id: 12568, {'send_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 49, 'second': 49, 'microsecond': 62012, 'abs': 1713386989.062012}, 'recv_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 49, 'second': 52, 'microsecond': 49798, 'abs': 1713386992.049798}, 'elap_t': 2.942031145095825, 'send_success': True, 'recv_success': True, 'sendrecv_success': True, 'exe_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 49, 'second': 49, 'microsecond': 107673, 'abs': 1713386989.107673}, 'ret_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 49, 'second': 52, 'microsecond': 49704, 'abs': 1713386992.049704}, 'mpi_overhead': 0.04575490951538086, 'app_elap_t': None}
 task_id: 12651, {'send_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 49, 'second': 52, 'microsecond': 49822, 'abs': 1713386992.049822}, 'recv_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 50, 'second': 47, 'microsecond': 818629, 'abs': 1713387047.818629}, 'elap_t': 55.719693183898926, 'send_success': True, 'recv_success': True, 'sendrecv_success': True, 'exe_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 49, 'second': 52, 'microsecond': 98873, 'abs': 1713386992.098873}, 'ret_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 50, 'second': 47, 'microsecond': 818566, 'abs': 1713387047.818566}, 'mpi_overhead': 0.04911375045776367, 'app_elap_t': None}
 task_id: 14168, {'send_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 50, 'second': 47, 'microsecond': 818661, 'abs': 1713387047.818661}, 'recv_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 50, 'second': 52, 'microsecond': 24139, 'abs': 1713387052.024139}, 'elap_t': 4.16985011100769, 'send_success': True, 'recv_success': True, 'sendrecv_success': True, 'exe_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 50, 'second': 47, 'microsecond': 854255, 'abs': 1713387047.854255}, 'ret_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 50, 'second': 52, 'microsecond': 24105, 'abs': 1713387052.024105}, 'mpi_overhead': 0.03562784194946289, 'app_elap_t': None}
 task_id: 14285, {'send_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 50, 'second': 52, 'microsecond': 24163, 'abs': 1713387052.024163}, 'recv_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 51, 'second': 27, 'microsecond': 394349, 'abs': 1713387087.394349}, 'elap_t': 35.35461187362671, 'send_success': True, 'recv_success': True, 'sendrecv_success': True, 'exe_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 50, 'second': 52, 'microsecond': 39669, 'abs': 1713387052.039669}, 'ret_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 51, 'second': 27, 'microsecond': 394281, 'abs': 1713387087.394281}, 'mpi_overhead': 0.015574216842651367, 'app_elap_t': None}
 task_id: 15271, {'send_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 51, 'second': 27, 'microsecond': 394373, 'abs': 1713387087.394373}, 'recv_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 52, 'second': 18, 'microsecond': 429467, 'abs': 1713387138.429467}, 'elap_t': 51.010334968566895, 'send_success': True, 'recv_success': True, 'sendrecv_success': True, 'exe_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 51, 'second': 27, 'microsecond': 419037, 'abs': 1713387087.419037}, 'ret_t': {'year': 2024, 'month': 4, 'day': 17, 'hour': 20, 'minute': 52, 'second': 18, 'microsecond': 429372, 'abs': 1713387138.429372}, 'mpi_overhead': 0.02475905418395996, 'app_elap_t': None}
