state     cubefile
1563      spin_up_7_LUMO.cube
1562      spin_up_6_LUMO.cube
1561      spin_up_5_LUMO.cube
1560      spin_up_4_LUMO.cube
1559      spin_up_3_LUMO.cube
1558      spin_up_2_LUMO.cube
1557      spin_up_1_LUMO.cube
1556      spin_up_0_LUMO.cube
1555      spin_up_0_HOMO.cube
1554      spin_up_1_HOMO.cube
1553      spin_up_2_HOMO.cube
1552      spin_up_3_HOMO.cube
1551      spin_up_4_HOMO.cube
1550      spin_up_5_HOMO.cube
1549      spin_up_6_HOMO.cube
1548      spin_up_7_HOMO.cube
